Day,Model,Final Train Loss,Final Train Accuracy (%),Final Val Loss,Final Val Accuracy (%)
Day 3,mobilenet,0.7481,64.67,0.7402,65.52
Day 4,mobilenet,0.6391,76.0,0.6921,66.67
Day 5,mobilenet,0.7641,66.67,0.9235,50.0
Day 3,mobilenet,0.7205,68.0,0.6857,68.97
Day 4,mobilenet,0.6678,74.67,0.6798,70.0
Day 5,mobilenet,0.7715,62.67,0.9135,56.67
Day 3,efficientnet,0.7508,72.67,0.6738,79.31
Day 4,efficientnet,0.6821,72.0,0.6832,70.0
Day 5,efficientnet,0.7605,70.67,0.7958,73.33
Day 3,resnet,0.0485,98.0,0.0058,100.0
Day 4,resnet,0.1061,95.33,0.0371,96.67
Day 5,resnet,0.1499,94.67,0.1039,93.33
Day 3,resnet50,0.0402,99.33,0.021,100.0
Day 4,resnet50,0.1557,95.33,0.4158,83.33
Day 5,resnet50,0.1601,92.67,0.1405,90.0
Day 3,densenet121,0.7541,69.33,0.7204,79.31
Day 4,densenet121,0.7084,74.67,0.8233,66.67
Day 5,densenet121,0.8108,70.0,0.8583,56.67
Day 3,convnext_tiny,0.6119,76.67,0.4806,86.21
Day 4,convnext_tiny,0.6404,74.0,0.5426,83.33
Day 5,convnext_tiny,0.7325,70.0,0.7538,63.33
Day 3,vit_b_16,0.5948,78.0,0.5227,82.76
Day 3,vit_b_16,0.5888,73.33,0.4927,86.21
Day 4,vit_b_16,0.6111,73.33,0.7057,66.67
Day 5,vit_b_16,0.6943,73.33,0.7603,70.0
Day 3,swin_v2_b,0.8912,62.67,0.861,65.52
Day 4,swin_v2_b,0.8859,54.0,0.8697,46.67
Day 5,swin_v2_b,0.9388,58.67,0.9623,53.33
Day 3,resnet,0.0688,98.67,0.0017,100.0
Day 4,resnet,0.0465,98.0,0.0661,96.67
Day 5,resnet,0.1566,94.67,0.1406,93.33
